0,1.98
0.005,1.3753
0.01,0.79693
0.015,0.59233
0.02,0.49819
0.025,0.43122
0.03,0.37895
0.035,0.33653
0.04,0.301
0.045,0.27105
0.05,0.24653
0.055,0.23115
0.06,0.22469
0.075,0.21871
0.1,0.21549
0.125,0.21231
0.15,0.18738
0.175,0.16684
0.2,0.1564
0.225,0.14578
0.25,0.13901
0.275,0.13443
0.3,0.13214
0.325,0.13131
0.35,0.13081
0.375,0.13043
0.4,0.13005
0.425,0.12966
0.45,0.12909
0.475,0.12808
0.5,0.1233
0.525,0.10733
0.55,0.096514
0.575,0.093325
0.6,0.091909
0.625,0.091803
0.65,0.091718
0.675,0.091528
0.7,0.091337
0.725,0.091146
0.75,0.090956
0.775,0.090765
0.8,0.090383
0.825,0.089811
0.85,0.089239
0.875,0.088337
0.9,0.087142
0.925,0.084854
0.95,0.079515
0.975,0.064943
1,0.012394
