Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrolyte properties,,,
Typical electrolyte concentration [mol.m-3],1000,,
Cation transference number,0.26,,
1 + dlnf/dlnc,1,,
Electrolyte diffusivity [m2.s-1],[function]electrolyte_diffusivity_Schmalstieg2018,,
Electrolyte conductivity [S.m-1],[function]electrolyte_conductivity_Schmalstieg2018,,
